filename,filesize,transcript
/Users/gabriel.t.nishimura/projects/masters/ctc/data_dir/LibriSpeech/dev-clean-new/2412-153948-0012.wav,111835,each must cry louder and wander farther yet may luck be with them both that they may find their own at nightfall
/Users/gabriel.t.nishimura/projects/masters/ctc/data_dir/LibriSpeech/dev-clean-new/2412-153948-0013.wav,148908,i had no money but if i could only find workable country i might stock it with borrowed capital and consider myself a made man
/Users/gabriel.t.nishimura/projects/masters/ctc/data_dir/LibriSpeech/dev-clean-new/2412-153948-0014.wav,170325,there was no one in the whole world who had the smallest idea save those who were themselves on the other side of it if indeed there was any one at all could i hope to cross it
/Users/gabriel.t.nishimura/projects/masters/ctc/data_dir/LibriSpeech/dev-clean-new/2412-153948-0015.wav,64369,i would try the nearer range and see how far i could go
/Users/gabriel.t.nishimura/projects/masters/ctc/data_dir/LibriSpeech/dev-clean-new/2078-142845-0000.wav,47172,kirkleatham yeast
/Users/gabriel.t.nishimura/projects/masters/ctc/data_dir/LibriSpeech/dev-clean-new/2078-142845-0001.wav,48491,seventeen seventeen
/Users/gabriel.t.nishimura/projects/masters/ctc/data_dir/LibriSpeech/dev-clean-new/2078-142845-0002.wav,59944,to make good home made bread
/Users/gabriel.t.nishimura/projects/masters/ctc/data_dir/LibriSpeech/dev-clean-new/2078-142845-0003.wav,46532,seventeen eighteen
/Users/gabriel.t.nishimura/projects/masters/ctc/data_dir/LibriSpeech/dev-clean-new/2078-142845-0004.wav,437052,mode put the flour into a large earthenware bowl or deep pan then with a strong metal or wooden spoon hollow out the middle but do not clear it entirely away from the bottom of the pan as in that case the sponge or leaven as it was formerly termed would stick to it which it ought not to do
/Users/gabriel.t.nishimura/projects/masters/ctc/data_dir/LibriSpeech/dev-clean-new/2078-142845-0005.wav,605551,next take either a large tablespoonful of brewer's yeast which has been rendered solid by mixing it with plenty of cold water and letting it afterwards stand to settle for a day and night or nearly an ounce of german yeast put it into a large basin and proceed to mix it so that it shall be as smooth as cream with three quarters pint of warm milk and water or with water only though even a very little milk will much improve the bread
/Users/gabriel.t.nishimura/projects/masters/ctc/data_dir/LibriSpeech/dev-clean-new/2078-142845-0006.wav,285901,look at it from time to time when it has been laid for nearly an hour and when the yeast has risen and broken through the flour so that bubbles appear in it you will know that it is ready to be made up into dough
/Users/gabriel.t.nishimura/projects/masters/ctc/data_dir/LibriSpeech/dev-clean-new/2078-142845-0007.wav,395358,then place the pan on a strong chair or dresser or table of convenient height pour into the sponge the remainder of the warm milk and water stir into it as much of the flour as you can with the spoon then wipe it out clean with your fingers and lay it aside
/Users/gabriel.t.nishimura/projects/masters/ctc/data_dir/LibriSpeech/dev-clean-new/2078-142845-0008.wav,376353,turn it then on to a paste board or very clean dresser and with a large sharp knife divide it in two make it up quickly into loaves and dispatch it to the oven make one or two incisions across the tops of the loaves as they will rise more easily if this be done
/Users/gabriel.t.nishimura/projects/masters/ctc/data_dir/LibriSpeech/dev-clean-new/2078-142845-0009.wav,69988,illustration italian millet
/Users/gabriel.t.nishimura/projects/masters/ctc/data_dir/LibriSpeech/dev-clean-new/2078-142845-0010.wav,279376,italian millet or great indian millet is cultivated in egypt and nubia where it is called dhourra and is used as human food as well as for the fermentation of beer
/Users/gabriel.t.nishimura/projects/masters/ctc/data_dir/LibriSpeech/dev-clean-new/2078-142845-0011.wav,92210,it will grow on poor soils and is extremely productive
/Users/gabriel.t.nishimura/projects/masters/ctc/data_dir/LibriSpeech/dev-clean-new/2078-142845-0012.wav,265718,it has been introduced into italy where they make a coarse bread from it and it is also employed in pastry and puddings they also use it for feeding horses and domestic fowls
/Users/gabriel.t.nishimura/projects/masters/ctc/data_dir/LibriSpeech/dev-clean-new/2078-142845-0013.wav,194335,a yellow variety called golden millet is sold in the grocers shops for making puddings and is very delicate and wholesome
/Users/gabriel.t.nishimura/projects/masters/ctc/data_dir/LibriSpeech/dev-clean-new/2078-142845-0014.wav,164550,another advantage the red wheats possess is their comparative immunity from the attacks of mildew and fly
/Users/gabriel.t.nishimura/projects/masters/ctc/data_dir/LibriSpeech/dev-clean-new/2078-142845-0015.wav,181976,mode boil the rice in water until it is quite tender pour off the water and put the rice before it is cold to the flour
/Users/gabriel.t.nishimura/projects/masters/ctc/data_dir/LibriSpeech/dev-clean-new/2078-142845-0016.wav,70349,illustration maize plant
/Users/gabriel.t.nishimura/projects/masters/ctc/data_dir/LibriSpeech/dev-clean-new/2078-142845-0017.wav,136800,maize next to wheat and rice maize is the grain most used in the nourishment of man
/Users/gabriel.t.nishimura/projects/masters/ctc/data_dir/LibriSpeech/dev-clean-new/2078-142845-0018.wav,112742,if carried any distance it should be stored away in air tight vessels
/Users/gabriel.t.nishimura/projects/masters/ctc/data_dir/LibriSpeech/dev-clean-new/2078-142845-0019.wav,185136,some of the preparations of maize flour are very good and when partaken in moderation suitable food for almost everybody
/Users/gabriel.t.nishimura/projects/masters/ctc/data_dir/LibriSpeech/dev-clean-new/2078-142845-0020.wav,180082,mode let the tartaric acid and salt be reduced to the finest possible powder then mix them well with the flour
/Users/gabriel.t.nishimura/projects/masters/ctc/data_dir/LibriSpeech/dev-clean-new/2078-142845-0021.wav,120127,sour milk or buttermilk may be used but then a little less acid will be needed
/Users/gabriel.t.nishimura/projects/masters/ctc/data_dir/LibriSpeech/dev-clean-new/2078-142845-0022.wav,47722,excellent rolls
/Users/gabriel.t.nishimura/projects/masters/ctc/data_dir/LibriSpeech/dev-clean-new/2078-142845-0023.wav,38017,hot rolls
/Users/gabriel.t.nishimura/projects/masters/ctc/data_dir/LibriSpeech/dev-clean-new/2078-142845-0024.wav,48046,seventeen twenty four
/Users/gabriel.t.nishimura/projects/masters/ctc/data_dir/LibriSpeech/dev-clean-new/2078-142845-0025.wav,535619,when they are quite hot divide them lengthwise into three put some thin flakes of good butter between the slices press the rolls together and put them in the oven for a minute or two but not longer or the butter would oil take them out of the oven spread the butter equally over divide the rolls in half and put them on to a very hot clean dish and send them instantly to table
/Users/gabriel.t.nishimura/projects/masters/ctc/data_dir/LibriSpeech/dev-clean-new/2078-142845-0026.wav,51482,to make dry toast
/Users/gabriel.t.nishimura/projects/masters/ctc/data_dir/LibriSpeech/dev-clean-new/2078-142845-0027.wav,172609,never use new bread for making any kind of toast as it eats heavy and besides is very extravagant
/Users/gabriel.t.nishimura/projects/masters/ctc/data_dir/LibriSpeech/dev-clean-new/2078-142845-0028.wav,221367,move it backwards and forwards until the bread is nicely coloured then turn it and toast the other side and do not place it so near the fire that it blackens
/Users/gabriel.t.nishimura/projects/masters/ctc/data_dir/LibriSpeech/dev-clean-new/2078-142845-0029.wav,97842,to make hot buttered toast seventeen twenty six
/Users/gabriel.t.nishimura/projects/masters/ctc/data_dir/LibriSpeech/dev-clean-new/2078-142845-0030.wav,235327,a loaf of household bread about two days old answers for making toast better than cottage bread the latter not being a good shape and too crusty for the purpose
/Users/gabriel.t.nishimura/projects/masters/ctc/data_dir/LibriSpeech/dev-clean-new/2078-142845-0031.wav,320721,cut as many nice even slices as may be required rather more than one quarter inch in thickness and toast them before a very bright fire without allowing the bread to blacken which spoils the appearance and flavour of all toast
/Users/gabriel.t.nishimura/projects/masters/ctc/data_dir/LibriSpeech/dev-clean-new/2078-142845-0032.wav,256272,soyer recommends that each slice should be cut into pieces as soon as it is buttered and when all are ready that they should be piled lightly on the dish they are intended to be served on
/Users/gabriel.t.nishimura/projects/masters/ctc/data_dir/LibriSpeech/dev-clean-new/2078-142845-0033.wav,223231,he says that by cutting through four or five slices at a time all the butter is squeezed out of the upper ones while the bottom one is swimming in fat liquid
/Users/gabriel.t.nishimura/projects/masters/ctc/data_dir/LibriSpeech/dev-clean-new/2078-142845-0034.wav,200270,muffins and crumpets should always be served on separate dishes and both toasted and served as expeditiously as possible
/Users/gabriel.t.nishimura/projects/masters/ctc/data_dir/LibriSpeech/dev-clean-new/2078-142845-0035.wav,86263,sufficient allow two crumpets to each person
/Users/gabriel.t.nishimura/projects/masters/ctc/data_dir/LibriSpeech/dev-clean-new/2078-142845-0036.wav,77068,plain buns seventeen twenty nine
/Users/gabriel.t.nishimura/projects/masters/ctc/data_dir/LibriSpeech/dev-clean-new/2078-142845-0037.wav,297281,mode put the flour into a basin mix the sugar well with it make a hole in the centre and stir in the yeast and milk which should be lukewarm with enough of the flour to make it the thickness of cream
/Users/gabriel.t.nishimura/projects/masters/ctc/data_dir/LibriSpeech/dev-clean-new/2078-142845-0038.wav,91822,from fifteen to twenty minutes will be required to bake them nicely
/Users/gabriel.t.nishimura/projects/masters/ctc/data_dir/LibriSpeech/dev-clean-new/2078-142845-0039.wav,407754,these buns may be varied by adding a few currants candied peel or caraway seeds to the other ingredients and the above mixture answers for hot cross buns by putting in a little ground allspice and by pressing a tin mould in the form of a cross in the centre of the bun
/Users/gabriel.t.nishimura/projects/masters/ctc/data_dir/LibriSpeech/dev-clean-new/2078-142845-0040.wav,138178,sufficient to make twelve buns seasonable at any time light buns
/Users/gabriel.t.nishimura/projects/masters/ctc/data_dir/LibriSpeech/dev-clean-new/2078-142845-0041.wav,54790,illustration buns
/Users/gabriel.t.nishimura/projects/masters/ctc/data_dir/LibriSpeech/dev-clean-new/2078-142845-0042.wav,83612,victoria buns seventeen thirty two
/Users/gabriel.t.nishimura/projects/masters/ctc/data_dir/LibriSpeech/dev-clean-new/2078-142845-0043.wav,394542,mode whisk the egg stir in the sugar and beat these ingredients well together beat the butter to a cream stir in the ground rice currants and candied peel and as much flour as will make it of such a consistency that it may be rolled into seven or eight balls
/Users/gabriel.t.nishimura/projects/masters/ctc/data_dir/LibriSpeech/dev-clean-new/2078-142845-0044.wav,50897,italian rusks
/Users/gabriel.t.nishimura/projects/masters/ctc/data_dir/LibriSpeech/dev-clean-new/2078-142845-0045.wav,142035,they should be kept in a closed tin canister in a dry place to preserve their crispness
/Users/gabriel.t.nishimura/projects/masters/ctc/data_dir/LibriSpeech/dev-clean-new/2078-142845-0046.wav,105335,it is not cultivated in england being principally confined to the east
/Users/gabriel.t.nishimura/projects/masters/ctc/data_dir/LibriSpeech/dev-clean-new/2078-142845-0047.wav,217072,when we take into account that the arabians are fond of lizards and locusts as articles of food their cuisine altogether is scarcely a tempting one
/Users/gabriel.t.nishimura/projects/masters/ctc/data_dir/LibriSpeech/dev-clean-new/2078-142845-0048.wav,46558,seventeen thirty four
/Users/gabriel.t.nishimura/projects/masters/ctc/data_dir/LibriSpeech/dev-clean-new/2078-142845-0049.wav,59834,illustration rusks
/Users/gabriel.t.nishimura/projects/masters/ctc/data_dir/LibriSpeech/dev-clean-new/2078-142845-0050.wav,149194,mode put the milk and butter into a saucepan and keep shaking it round until the latter is melted
/Users/gabriel.t.nishimura/projects/masters/ctc/data_dir/LibriSpeech/dev-clean-new/2078-142845-0051.wav,200582,when cold they should be put into tin canisters to keep them dry and if intended for the cheese course the sifted sugar should be omitted
/Users/gabriel.t.nishimura/projects/masters/ctc/data_dir/LibriSpeech/dev-clean-new/3752-4943-0000.wav,163368,he had been a clerk in a banking house and was transported for embezzlement though by some grave doubts as to his guilt were entertained
/Users/gabriel.t.nishimura/projects/masters/ctc/data_dir/LibriSpeech/dev-clean-new/3752-4943-0001.wav,210301,when the muster bell rang and the gang broke up rufus dawes on his silent way to his separate cell observed a notable change of custom in the disposition of the new convict
/Users/gabriel.t.nishimura/projects/masters/ctc/data_dir/LibriSpeech/dev-clean-new/3752-4943-0002.wav,137352,i'm not to go in there says the ex bank clerk drawing back in dismay from the cloud of foul faces which lowered upon him
/Users/gabriel.t.nishimura/projects/masters/ctc/data_dir/LibriSpeech/dev-clean-new/3752-4943-0003.wav,116690,what is he more than anybody else said the wretched man to himself as he hugged his misery close
/Users/gabriel.t.nishimura/projects/masters/ctc/data_dir/LibriSpeech/dev-clean-new/3752-4943-0004.wav,246670,about dawn the next morning mister north who amongst other vagaries not approved of by his bishop had a habit of prowling about the prison at unofficial hours was attracted by a dispute at the door of the dormitory
/Users/gabriel.t.nishimura/projects/masters/ctc/data_dir/LibriSpeech/dev-clean-new/3752-4943-0005.wav,62432,a prisoner refractory your reverence said the watchman
/Users/gabriel.t.nishimura/projects/masters/ctc/data_dir/LibriSpeech/dev-clean-new/3752-4943-0006.wav,49959,wants to come out mister north
/Users/gabriel.t.nishimura/projects/masters/ctc/data_dir/LibriSpeech/dev-clean-new/3752-4943-0007.wav,171808,kirkland ghastly pale bleeding with his woollen shirt torn and his blue eyes wide open with terror was clinging to the bars
/Users/gabriel.t.nishimura/projects/masters/ctc/data_dir/LibriSpeech/dev-clean-new/3752-4943-0008.wav,68685,and beat on the bars with white and sweating hands
/Users/gabriel.t.nishimura/projects/masters/ctc/data_dir/LibriSpeech/dev-clean-new/3752-4943-0009.wav,64854,i order you sir north cried indignant
/Users/gabriel.t.nishimura/projects/masters/ctc/data_dir/LibriSpeech/dev-clean-new/3752-4943-0010.wav,97852,very sorry your reverence but your reverence knows that i daren't do such a thing
/Users/gabriel.t.nishimura/projects/masters/ctc/data_dir/LibriSpeech/dev-clean-new/3752-4943-0011.wav,129039,oh you ministers of christ wolves in sheep's clothing you shall be judged for this
/Users/gabriel.t.nishimura/projects/masters/ctc/data_dir/LibriSpeech/dev-clean-new/3752-4943-0012.wav,65898,let him out cried north again stamping his foot
/Users/gabriel.t.nishimura/projects/masters/ctc/data_dir/LibriSpeech/dev-clean-new/3752-4943-0013.wav,105105,there's more trouble with you bloody aristocrats than enough lie quiet
/Users/gabriel.t.nishimura/projects/masters/ctc/data_dir/LibriSpeech/dev-clean-new/3752-4943-0014.wav,61922,you can guess what that unhappy boy has suffered
/Users/gabriel.t.nishimura/projects/masters/ctc/data_dir/LibriSpeech/dev-clean-new/3752-4943-0015.wav,58201,impertinent young beggar said burgess
/Users/gabriel.t.nishimura/projects/masters/ctc/data_dir/LibriSpeech/dev-clean-new/3752-4943-0016.wav,48048,do him good curse him
/Users/gabriel.t.nishimura/projects/masters/ctc/data_dir/LibriSpeech/dev-clean-new/3752-4943-0017.wav,47883,it's hard for such young uns
/Users/gabriel.t.nishimura/projects/masters/ctc/data_dir/LibriSpeech/dev-clean-new/3752-4943-0018.wav,97861,have you ever been in that that place i was in last night asked kirkland
/Users/gabriel.t.nishimura/projects/masters/ctc/data_dir/LibriSpeech/dev-clean-new/3752-4943-0019.wav,46021,what does he care care
/Users/gabriel.t.nishimura/projects/masters/ctc/data_dir/LibriSpeech/dev-clean-new/3752-4943-0020.wav,84404,if you fall we must fall over you and then you're done for
/Users/gabriel.t.nishimura/projects/masters/ctc/data_dir/LibriSpeech/dev-clean-new/3752-4943-0021.wav,84549,he had hardly uttered the words when the boy flung himself beneath the log
/Users/gabriel.t.nishimura/projects/masters/ctc/data_dir/LibriSpeech/dev-clean-new/3752-4943-0022.wav,98222,hold on to me miss nancy said the giant i'm big enough to carry double
/Users/gabriel.t.nishimura/projects/masters/ctc/data_dir/LibriSpeech/dev-clean-new/3752-4943-0023.wav,58953,but kirkland kept steadily on for the river
/Users/gabriel.t.nishimura/projects/masters/ctc/data_dir/LibriSpeech/dev-clean-new/3752-4943-0024.wav,112202,just as he reached it however the figure of mister north rose from behind a pile of stones
/Users/gabriel.t.nishimura/projects/masters/ctc/data_dir/LibriSpeech/dev-clean-new/3752-4943-0025.wav,100732,kirkland jumped for the jetty missed his footing and fell into the arms of the chaplain
/Users/gabriel.t.nishimura/projects/masters/ctc/data_dir/LibriSpeech/dev-clean-new/3752-4943-0026.wav,73936,oh mister north says kirkland why did you stop me
/Users/gabriel.t.nishimura/projects/masters/ctc/data_dir/LibriSpeech/dev-clean-new/3752-4943-0027.wav,59641,must stop that fifty lashes troke
/Users/gabriel.t.nishimura/projects/masters/ctc/data_dir/LibriSpeech/dev-clean-new/3752-4943-0028.wav,78401,that last fellow you had ought to have been tied up himself
/Users/gabriel.t.nishimura/projects/masters/ctc/data_dir/LibriSpeech/dev-clean-new/3752-4943-0029.wav,80254,i won't have my men knocked up with flogging these rascals
/Users/gabriel.t.nishimura/projects/masters/ctc/data_dir/LibriSpeech/dev-clean-new/3752-4943-0030.wav,44911,very good your honour says troke
/Users/gabriel.t.nishimura/projects/masters/ctc/data_dir/LibriSpeech/dev-clean-new/3752-4944-0000.wav,72756,captain frere says that the scenery is delightful
/Users/gabriel.t.nishimura/projects/masters/ctc/data_dir/LibriSpeech/dev-clean-new/3752-4944-0001.wav,85542,abandoned indeed by god and man almost
/Users/gabriel.t.nishimura/projects/masters/ctc/data_dir/LibriSpeech/dev-clean-new/3752-4944-0002.wav,70877,in the valley of the shadow of death he is with us
